Epoch	loss
Epoch: 158	total: 13798.162388	BCE: 13682.327706	KLD: 23.166880	KLD_var: 0.413819
Epoch: 159	total: 13614.886998	BCE: 13497.030413	KLD: 23.571318	KLD_var: 0.466767
Epoch: 160	total: 13949.286133	BCE: 13830.197126	KLD: 23.817805	KLD_var: 0.442953
Epoch: 161	total: 13955.391323	BCE: 13838.349191	KLD: 23.408439	KLD_var: 0.453086
Epoch: 162	total: 13519.932338	BCE: 13405.928292	KLD: 22.800804	KLD_var: 0.542947
Epoch: 163	total: 13672.617606	BCE: 13552.763532	KLD: 23.970799	KLD_var: 0.427988
Epoch: 164	total: 13421.976562	BCE: 13306.274972	KLD: 23.140279	KLD_var: 0.486336
Epoch: 165	total: 13509.564314	BCE: 13394.795201	KLD: 22.953826	KLD_var: 0.551268
Epoch: 166	total: 13853.649414	BCE: 13738.779715	KLD: 22.973883	KLD_var: 0.412549
Epoch: 167	total: 13703.433315	BCE: 13583.020229	KLD: 24.082632	KLD_var: 0.541310
Epoch: 168	total: 13612.569754	BCE: 13493.038923	KLD: 23.906184	KLD_var: 0.532467
Epoch: 169	total: 13595.142857	BCE: 13479.911133	KLD: 23.046334	KLD_var: 0.444686
Epoch: 170	total: 13470.813616	BCE: 13353.637137	KLD: 23.435297	KLD_var: 0.496064
Epoch: 171	total: 13594.819615	BCE: 13481.510184	KLD: 22.661839	KLD_var: 0.453451
Epoch: 172	total: 13615.238002	BCE: 13495.365932	KLD: 23.974406	KLD_var: 0.433865
Epoch: 173	total: 13807.619838	BCE: 13688.045340	KLD: 23.914880	KLD_var: 0.400662
Epoch: 174	total: 13382.675084	BCE: 13266.197684	KLD: 23.295475	KLD_var: 0.464810
Epoch: 175	total: 13482.843750	BCE: 13370.363421	KLD: 22.496100	KLD_var: 0.373068
Epoch: 176	total: 13811.023996	BCE: 13691.148298	KLD: 23.975175	KLD_var: 0.397239
Epoch: 177	total: 13713.096959	BCE: 13593.272740	KLD: 23.964860	KLD_var: 0.443048
Epoch: 178	total: 13439.276088	BCE: 13324.006278	KLD: 23.053950	KLD_var: 0.466596
Epoch: 179	total: 13698.856585	BCE: 13585.411830	KLD: 22.688970	KLD_var: 0.402476
Epoch: 180	total: 13523.546456	BCE: 13408.672852	KLD: 22.974716	KLD_var: 0.436837
Epoch: 181	total: 13725.844727	BCE: 13610.307896	KLD: 23.107344	KLD_var: 0.431631
Epoch: 182	total: 13593.648438	BCE: 13476.536830	KLD: 23.422339	KLD_var: 0.527824
Epoch: 183	total: 13551.764509	BCE: 13435.642578	KLD: 23.224389	KLD_var: 0.407726
Epoch: 184	total: 13526.582031	BCE: 13412.574637	KLD: 22.801474	KLD_var: 0.450664
Epoch: 185	total: 13830.217913	BCE: 13714.031390	KLD: 23.237309	KLD_var: 0.410841
Epoch: 186	total: 13644.693917	BCE: 13524.922154	KLD: 23.954355	KLD_var: 0.463190
Epoch: 187	total: 13460.868164	BCE: 13343.536691	KLD: 23.466273	KLD_var: 0.547846
Epoch: 188	total: 13992.120257	BCE: 13867.694196	KLD: 24.885232	KLD_var: 0.537636
Epoch: 189	total: 13965.006696	BCE: 13849.022740	KLD: 23.196783	KLD_var: 0.525433
Epoch: 190	total: 13463.558036	BCE: 13347.143415	KLD: 23.282884	KLD_var: 0.448320
Epoch: 191	total: 13567.535435	BCE: 13450.196568	KLD: 23.467760	KLD_var: 0.489175
Epoch: 192	total: 13586.331055	BCE: 13464.742188	KLD: 24.317748	KLD_var: 0.468412
Epoch: 193	total: 13445.032366	BCE: 13327.897879	KLD: 23.426867	KLD_var: 0.468474
Epoch: 194	total: 13506.921456	BCE: 13389.530552	KLD: 23.478219	KLD_var: 0.460039
Epoch: 195	total: 13881.567662	BCE: 13763.416853	KLD: 23.630146	KLD_var: 0.391828
Epoch: 196	total: 13431.094448	BCE: 13315.100586	KLD: 23.198753	KLD_var: 0.401729
Epoch: 197	total: 13600.167969	BCE: 13483.494978	KLD: 23.334620	KLD_var: 0.420509
Epoch: 198	total: 13637.904297	BCE: 13516.008092	KLD: 24.379221	KLD_var: 0.374215
Epoch: 199	total: 13627.620396	BCE: 13510.528739	KLD: 23.418359	KLD_var: 0.412479
Epoch: 200	total: 13572.144392	BCE: 13453.742606	KLD: 23.680330	KLD_var: 0.403533
Epoch: 201	total: 13222.360212	BCE: 13105.203823	KLD: 23.431270	KLD_var: 0.381907
Epoch: 202	total: 13715.672154	BCE: 13599.120954	KLD: 23.310235	KLD_var: 0.403295
Epoch: 203	total: 13599.572405	BCE: 13483.197963	KLD: 23.274873	KLD_var: 0.439985
Epoch: 204	total: 13788.275530	BCE: 13674.214007	KLD: 22.812305	KLD_var: 0.406357
Epoch: 205	total: 13469.081892	BCE: 13350.918108	KLD: 23.632760	KLD_var: 0.453732
Epoch: 206	total: 13101.501395	BCE: 12980.914481	KLD: 24.117375	KLD_var: 0.471331
Epoch: 207	total: 13814.881836	BCE: 13696.938337	KLD: 23.588725	KLD_var: 0.388536
Epoch: 208	total: 13897.117048	BCE: 13775.793108	KLD: 24.264802	KLD_var: 0.494787
Epoch: 209	total: 13265.144950	BCE: 13153.234654	KLD: 22.382024	KLD_var: 0.412749
Epoch: 210	total: 13664.921177	BCE: 13546.258510	KLD: 23.732574	KLD_var: 0.513928
Epoch: 211	total: 13331.677176	BCE: 13213.551479	KLD: 23.625135	KLD_var: 0.505025
Epoch: 212	total: 13564.995257	BCE: 13446.972796	KLD: 23.604482	KLD_var: 0.477956
Epoch: 213	total: 13897.448382	BCE: 13777.992188	KLD: 23.891259	KLD_var: 0.473867
Epoch: 214	total: 13357.734096	BCE: 13244.311663	KLD: 22.684455	KLD_var: 0.456481
Epoch: 215	total: 13622.655413	BCE: 13508.811523	KLD: 22.768783	KLD_var: 0.394423
Epoch: 216	total: 13340.426618	BCE: 13223.820731	KLD: 23.321152	KLD_var: 0.414161
Epoch: 217	total: 13353.122768	BCE: 13232.990932	KLD: 24.026356	KLD_var: 0.335636
Epoch: 218	total: 13515.016602	BCE: 13397.013951	KLD: 23.600529	KLD_var: 0.387286
Epoch: 219	total: 13275.598772	BCE: 13153.944894	KLD: 24.330793	KLD_var: 0.457426
Epoch: 220	total: 13738.132812	BCE: 13621.671456	KLD: 23.292286	KLD_var: 0.391485
Epoch: 221	total: 13455.686105	BCE: 13342.889648	KLD: 22.559263	KLD_var: 0.390817
Epoch: 222	total: 13521.710798	BCE: 13402.684989	KLD: 23.805171	KLD_var: 0.460371
Epoch: 223	total: 13356.193359	BCE: 13230.517020	KLD: 25.135250	KLD_var: 0.424955
Epoch: 224	total: 13520.402204	BCE: 13404.417132	KLD: 23.197047	KLD_var: 0.408514
Epoch: 225	total: 13513.896484	BCE: 13396.724191	KLD: 23.434442	KLD_var: 0.415105
Epoch: 226	total: 13630.478516	BCE: 13513.737863	KLD: 23.348158	KLD_var: 0.424410
Epoch: 227	total: 13711.036412	BCE: 13595.746512	KLD: 23.057936	KLD_var: 0.417521
Epoch: 228	total: 13489.532506	BCE: 13370.482701	KLD: 23.810013	KLD_var: 0.396518
Epoch: 229	total: 13754.620536	BCE: 13636.846959	KLD: 23.554677	KLD_var: 0.427076
Epoch: 230	total: 13385.805664	BCE: 13267.210938	KLD: 23.718963	KLD_var: 0.391798
Epoch: 231	total: 13566.503069	BCE: 13447.700335	KLD: 23.760519	KLD_var: 0.381228
Epoch: 232	total: 13519.166574	BCE: 13402.213588	KLD: 23.390629	KLD_var: 0.342399
Epoch: 233	total: 13446.213449	BCE: 13321.559989	KLD: 24.930677	KLD_var: 0.383776
Epoch: 234	total: 13386.712472	BCE: 13265.684152	KLD: 24.205655	KLD_var: 0.359391
Epoch: 235	total: 13828.122070	BCE: 13712.963867	KLD: 23.031632	KLD_var: 0.420991
Epoch: 236	total: 13383.252790	BCE: 13265.105887	KLD: 23.629365	KLD_var: 0.413519
Epoch: 237	total: 13669.633650	BCE: 13552.404994	KLD: 23.445703	KLD_var: 0.373280
Epoch: 238	total: 13372.002511	BCE: 13249.425084	KLD: 24.515455	KLD_var: 0.428778
Epoch: 239	total: 13452.385742	BCE: 13332.741629	KLD: 23.928833	KLD_var: 0.410535
Epoch: 240	total: 13303.658343	BCE: 13191.780692	KLD: 22.375518	KLD_var: 0.402228
Epoch: 241	total: 13446.154297	BCE: 13328.847238	KLD: 23.461385	KLD_var: 0.378953
Epoch: 242	total: 13150.997070	BCE: 13033.833566	KLD: 23.432691	KLD_var: 0.459865
Epoch: 243	total: 13126.967215	BCE: 13011.050921	KLD: 23.183254	KLD_var: 0.376207
Epoch: 244	total: 13290.834403	BCE: 13171.674526	KLD: 23.831976	KLD_var: 0.383681
Epoch: 245	total: 13271.599330	BCE: 13158.007394	KLD: 22.718358	KLD_var: 0.365589
Epoch: 246	total: 13188.261021	BCE: 13067.137277	KLD: 24.224777	KLD_var: 0.353677
Epoch: 247	total: 13350.851842	BCE: 13236.988700	KLD: 22.772635	KLD_var: 0.407808
Epoch: 248	total: 13357.401088	BCE: 13238.316267	KLD: 23.816988	KLD_var: 0.383470
Epoch: 249	total: 13423.931920	BCE: 13306.351144	KLD: 23.516148	KLD_var: 0.434932
Epoch: 250	total: 13224.521205	BCE: 13107.687640	KLD: 23.366720	KLD_var: 0.438675
Epoch: 251	total: 13463.160854	BCE: 13347.402204	KLD: 23.151709	KLD_var: 0.420568
